Partlist

Exported from 2LabsToGo V0.3.0.brd at 02.09.2024 08:42

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                       Package         Library                      Position (mm)         Orientation

X5                                   MCV7            con-phoenix-381_l            (24.13 127)           MR0
X6       MCV2                        MCV2            con-phoenix-381_l            (118.4275 13.97)      MR180
X7       MCV2                        MCV2            con-phoenix-381_l            (104.4575 13.97)      MR180
X8       MC6                         MC6             con-phoenix-381_l            (91.7575 133.985)     R180
X9       PN87520-S                   PN87520-S       con-berg                     (67.945 130.81)       R180
X10                                  MCV4            con-phoenix-381_l            (77.47 118.11)        MR0
X11      MCV2                        MCV2            con-phoenix-381_l            (9.525 83.82)         R90
Y+                                   MA03-1          con-lstb_round               (78.74 15.24)         MR270
Y-                                   MA03-1          con-lstb_round               (81.28 15.24)         MR270
Y-MOT                                MA04-1          con-lstb_round               (17.78 53.34)         MR270
Z+                                   MA03-1          con-lstb_round               (83.82 15.24)         MR270
Z-MOT1                               MA04-1          con-lstb_round               (25.4 36.195)         MR90
Z-MOT2                               MA04-1          con-lstb_round               (25.4 15.24)          R90
Z-STOP1                              MA03-1          con-lstb_round               (64.77 15.24)         MR270
Z-STOP2                              MA03-1          con-lstb_round               (67.31 15.24)         R270
